Name,Location,Website,Tuition,Acceptance Rate,Student-Faculty Ratio,Description,School Type,Largest Program
Jamestown Community College—Cattaraugus County Campus,"Olean, NY",https://www.collegexpress.com/college/jamestown-community-college-cattaraugus-county-campus/3300960/details/,"$5,200",Information Unavailable,17:1,"Founded in 1950, Jamestown Community College,  is a public two-year college. The main campus is located on a 107-acre site at the foot of Chautauqua Lake in Jamestown, New York. JCC has a branch campus in Olean and extension centers in Dunkirk and Warren, Pennsylvania. Jamestown Community College is part of the State University of New York (SUNY) system.",Information Unavailable,Information Unavailable
Jamestown Community College—North County Center,"Dunkirk, NY",https://www.collegexpress.com/college/jamestown-community-college-north-county-center/3302146/details/,"$4,870",Information Unavailable,16:1,"Founded in 1950, Jamestown Community College is a public two-year college. The main campus is located on a 107-acre site at the foot of Chautauqua Lake in Jamestown, New York. JCC has a branch campus in Olean and extension centers in Dunkirk and Warren, Pennsylvania. Jamestown Community College is part of the State University of New York (SUNY) system.",Information Unavailable,Information Unavailable
Jefferson Community College,"Watertown, NY",https://www.collegexpress.com/college/jefferson-community-college/3300990/details/,"$5,016",Information Unavailable,18:1,"Jefferson Community College, part of the SUNY college system, founded in 1962, is a public, coeducational, two-year institution. Its campus is located in Watertown, NY.","2-year, Public",-
Jefferson Lewis BOCES-Practical Nursing Program,"20104 State Route 3, Watertown, New York 13601-9509",www.boces.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",-
Jewish Theological Seminary of America,"New York, NY",https://www.collegexpress.com/college/jewish-theological-seminary-of-america/3000167/details/,"$56,128",58%,Information Unavailable,"The Jewish Theological Seminary, founded in 1886, is a private, coeducational Conservative Judaistic college. Its campus is located in New York City.","4-year, Private not-for-profit",-
Joffrey Ballet School,"New York, NY",https://www.collegexpress.com/college/joffrey-ballet-school/3302605/details/,"$20,900",41%,Information Unavailable,"American Ballet Center/Joffrey Ballet School, founded in 1952, is a private, specialized, coeducational institution. Its campus is located in New York.",Information Unavailable,Information Unavailable
John Jay College of Criminal Justice,"New York, NY",https://www.collegexpress.com/college/john-jay-college-of-criminal-justice/2100310/details/,"$6,930",37%,Information Unavailable,"John Jay College of Criminal Justice is a public institution of liberal arts and criminal justice and a senior member of the City University of New York school system. Founded in 1964, it grew out of a program of higher education for New York City police officers. Its campus is located in the Lincoln Center area of Manhattan.",Information Unavailable,Information Unavailable
Juilliard School,"New York, NY",https://www.collegexpress.com/college/juilliard-school/1100766/details/,"$49,260",7%,4:1,"The Juilliard School, founded in 1905, is a private conservatory of the performing arts. Its campus is located at Lincoln Center in New York City.",Information Unavailable,Information Unavailable
Kehilath Yakov Rabbinical Seminary,"340  Illington Road, Ossining, New York 10562",kehilathyakov.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Keuka College,"Keuka Park, NY",https://www.collegexpress.com/college/keuka-college/1100777/details/,"$32,700",90%,8:1,"Keuka College, founded in 1890, is a private, liberal arts institution. Its 288-acre campus is located in  Keuka Park, 50 miles from Rochester.","4-year, Private not-for-profit",-
Kingsborough Community College,"Brooklyn, NY",https://www.collegexpress.com/college/kingsborough-community-college/3300975/details/,"$4,800",Information Unavailable,Information Unavailable,"Kingsborough Community College, founded in 1963, is a public, coeducational institution. Its campus is located in Brooklyn, New York.",Information Unavailable,Information Unavailable
LIM College,"New York, NY",https://www.collegexpress.com/college/lim-college/1100316/details/,"$27,936",84%,16:1,"LIM College, founded in 1939, is a private, fashion and business centered institution. Its facilities are located in Midown Manhattan.","4-year, Private for-profit",-
LaGuardia Community College,"Long Island City, NY",https://www.collegexpress.com/college/laguardia-community-college/3301624/details/,"$4,800",Information Unavailable,Information Unavailable,"LaGuardia Community College, founded in 1971, is a public, two-year, liberal arts institution. Its 6-acre campus is located in Long Island City, NY.",Information Unavailable,Information Unavailable
Le Moyne College,"Syracuse, NY",https://www.collegexpress.com/college/le-moyne-college/2100337/details/,"$34,910",74%,13:1,"Le Moyne College, founded in 1946, is a liberal arts college in the Catholic, Jesuit tradition. Its 161-acre campus is located in a residential area, minutes from downtown Syracuse.","4-year, Private not-for-profit",-
"Lehman College, CUNY","Bronx, NY",https://www.collegexpress.com/college/lehman-college-cuny/1100932/details/,"$6,930",47%,18:1,"Founded in 1931, Lehman College is a public liberal arts institution that was initially a branch campus of Hunter College; it became a separate CUNY college in 1968. Its 37-acre campus is located in the Bronx.",Information Unavailable,Information Unavailable
Leon Studio One School of Beauty Knowledge,"5385 Main St, Williamsville, New York 14221",www.leonstudioone.com/school/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Lia Schorr Institute of Cosmetic Skin Care Training,"57 west 57 street suite 1409, New York, New York 10019",www.liaschorrinstitute.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Lincoln Technical Institute-Whitestone,"15-30 Petracca Pl, Whitestone, New York 11357",www.lincolntech.edu/campus/queens-ny,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Automobile/Automotive Mechanics Technology/Technician
Long Island Beauty School-Hauppauge,"544 Rte 111, Hauppauge, New York 11788",www.libs.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Long Island Beauty School-Hempstead,"173-A  Fulton Ave, Hempstead, New York 11550",www.libs.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Long Island Business Institute,"Commack, NY",https://www.collegexpress.com/college/long-island-business-institute/3101046/details/,"$8,866",81%,Information Unavailable,"Long Island Business Institute, founded in 1968, is a private two-year institution. Its 1-acre campus is located in Commack, NY.","2-year, Private for-profit",-
Long Island Nail Skin & Hair Institute,"1055 Stewart Avenue, Bethpage, New York 11714",www.nailskinhairinstitute.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Long Island University,"720 Northern Blvd, Brookville, New York 11548-1327",www.liu.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Long Island University—Brooklyn Campus,"Brooklyn, NY",https://www.collegexpress.com/college/long-island-university-brooklyn-campus/2800139/details/,"$36,452",84%,13:1,"Founded in 1926, Long Island University in Brooklyn is a private institution. Its 11-acre campus is located in downtown Brooklyn, NY.",Information Unavailable,Information Unavailable
Long Island University—C.W. Post Campus,"Brookville, NY",https://www.collegexpress.com/college/long-island-university-cw-post-campus/2100349/details/,"$37,182",85%,14:1,"Founded in 1954, Long Island University C.W. Post Campus is a private institution. Its 322-acre campus is located in Brookville, 45 minutes from Manhattan.",Information Unavailable,Information Unavailable
Machzikei Hadath Rabbinical College,"5407 16th Ave, Brooklyn, New York 11204-1805",https://mhrc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Madison Oneida BOCES-Practical Nursing Program,"4937 Spring Rd, Verona, New York 13478-0168",www.moboces.org/programs_services/adulted/health_occupations,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Mandl School,"New York, NY",https://www.collegexpress.com/college/mandl-school/3101048/details/,"$14,500",Information Unavailable,Information Unavailable,"Mandl School, founded in 1924, is a private, two-year, technical institution. Its campus is located in New York, NY.",Information Unavailable,Information Unavailable
Mandl School-The College of Allied Health,"254 W 54th St, New York, New York 10019-5516",www.mandl.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",-
Manhattan College,"Riverdale, NY",https://www.collegexpress.com/college/manhattan-college/1100201/details/,"$41,600",77%,13:1,"Manhattan College, established in 1853, is a private, four-year, coeducational, Lasallian Catholic institution of higher learning. Its 22-acre campus is located in the Riverdale section of the Bronx in New York City.","4-year, Private not-for-profit",-
Manhattan School of Computer Technology,"Brooklyn, NY",https://www.collegexpress.com/college/manhattan-school-of-computer-technology/3100997/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Manhattan School of Computer Technology is a private two-year institution. Its campus is located in New York, NY.","2-year, Private not-for-profit","English Language and Literature, General"
Manhattan School of Music,"New York, NY",https://www.collegexpress.com/college/manhattan-school-of-music/1100204/details/,"$48,280",41%,3:1,"The Manhattan School of Music, founded in 1917, is a private institution. Its facilities are located in the Morningside Heights section of Manhattan.","4-year, Private not-for-profit",-
Manhattanville College,"2900 Purchase St, Purchase, New York 10577",https://www.mville.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Manhattanville University,"Purchase, NY",https://www.collegexpress.com/college/manhattanville-university/1100206/details/,"$38,880",89%,11:1,"Founded 1841, Manhattanville University is a private coeducational liberal arts institution with a mission to educate students to be ethical and socially-responsible leaders in a global community. Its 100-acre campus is located in Purchase, New York—approximately 25 miles from New York City.",Information Unavailable,Information Unavailable
Maria College of Albany,"Albany, NY",https://www.collegexpress.com/college/maria-college-of-albany/3301628/details/,"$15,150",35%,Information Unavailable,"Maria College of Albany, founded in 1958, is a private two-year institution. Its campus is located in Albany, NY.","4-year, primarily associate's, Private not-for-profit",-
Marion S Whelan School of Nursing of Geneva General Hospital,"196 North St, Geneva, New York 14456-1651",www.mswspn.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private not-for-profit",-
Marist College,"Poughkeepsie, NY",https://www.collegexpress.com/college/marist-college/1100220/details/,"$41,800",55%,16:1,"Marist College, founded in 1929, is a private, independent, comprehensive institution grounded in the liberal arts, located on a 210-acre campus in New York's Hudson River Valley, with a branch campus abroad in Florence, Italy.","4-year, Private not-for-profit",-
Martha Graham School Contemporary Dance,"New York, NY",https://www.collegexpress.com/college/martha-graham-school-contemporary-dance/3302615/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Martha Graham School of Contemporary Dance, founded in 1926, is a private, two-year, dance institution. Its campus is located in New York, NY.",Information Unavailable,Information Unavailable
Marymount Manhattan College,"New York, NY",https://www.collegexpress.com/college/marymount-manhattan-college/1100229/details/,"$35,680",88%,9:1,"Marymount Manhattan College, founded in 1936, is a private, liberal arts college. Founded as a branch of Marymount College of Tarrytown, NY, it became an independent institution in 1961. Its one-acre campus is located in midtown Manhattan.","4-year, Private not-for-profit",-
Mechon L'hoyroa,"168 Maple Avenue, Monsey, New York 10952-2710",https://www.mechonlhoyroa.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
"Medgar Evers College, CUNY","Brooklyn, NY",https://www.collegexpress.com/college/medgar-evers-college-cuny/2100357/details/,"$6,930",78%,14:1,"Founded in 1970, Medgar Evers College is a public liberal arts institution. Its a seven-acre campus located in the Central Brooklyn area.",Information Unavailable,Information Unavailable
Memorial Hospital School of Radiation Therapy Technology,"1275 York Ave, New York, New York 10065-6007",www.mskcc.org/mskcc/html/13431.cfm,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Mercy University,"Dobbs Ferry, NY",https://www.collegexpress.com/college/mercy-university/1100259/details/,"$22,106",85%,15:1,"Since 1950, Mercy University has been on a mission, bringing education to students in new ways, and making it our business to empower generations of learners. We help students break new ground, achieve forward momentum and create lasting impact that ripples beyond themselves, to their families and communities.","4-year, Private not-for-profit",-
Merkaz Bnos-Business School,"2115 Benson Avenue, Brooklyn, New York 11214",www.mbs-career.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",Medical Office Management/Administration
Mesivta Torah Vodaath Rabbinical Seminary,"425 E 9th St, Brooklyn, New York 11218",independentrabbinicalcolleges.org/index.html,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,"510 Dahill Rd, Brooklyn, New York 11218-5559",https://mesivtaofeasternparkway.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Mesivtha Tifereth Jerusalem of America,"145 E Broadway, New York, New York 10002-6301",mtj.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Metropolitan College of New York,"New York, NY",https://www.collegexpress.com/college/metropolitan-college-of-new-york/3000062/details/,"$19,338",40%,11:1,"Founded in 1964, Metropolitan College of New York is a private non-profit college offering business, education, human services, urban studies, and public affairs programs. Its campus is located in Manhattan.","4-year, Private not-for-profit",-
Metropolitan Learning Institute,"97-77 Queens Blvd, 9th Floor, Rego Park, New York 11374",www.gettraining.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private not-for-profit",Medical Insurance Specialist/Medical Biller
Miami Ad School-New York,"35-37 36th ST, 3rd Floor, Astoria, New York 11106",miamiadschool.com/locations/new-york/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",-
Mildred Elley (New York),"Albany, NY",https://www.collegexpress.com/college/mildred-elley-new-york/3303516/details/,"$12,144",Information Unavailable,Information Unavailable,"Mildred Elley is a private, coeducational institution. Its campus is located in Albany, New York.",Information Unavailable,Information Unavailable
Mildred Elley School-Albany Campus,"855 Central Ave, Albany, New York 12206-1513",www.mildred-elley.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",-
Mildred Elley-New York Campus,"25 Broadway 16th Floor, New York, New York 10004-1010",www.mildred-elley.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",-
Mirrer Yeshiva Cent Institute,"1791-5 Ocean Parkway, Brooklyn, New York 11223-2010",www.mirreryeshiva.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Modern Welding School,"Schenectady, NY",https://www.collegexpress.com/college/modern-welding-school/3101050/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Modern Welding School, founded in 1936, is a private, two-year, technical institution. Its 1-acre campus is located in Schenectady, NY.","< 2-year, Private for-profit",Welding Technology/Welder
Mohawk Valley Community College,"Utica, NY",https://www.collegexpress.com/college/mohawk-valley-community-college/3300991/details/,"$4,594",Information Unavailable,18:1,"Mohawk Valley Community College, founded in 1946, is New York State's oldest community college.  MVCC is one of 30 public community colleges in the State University of New York system.  The main 80-acre campus is located in Utica; a branch campus is located in nearby Rome, NY.","2-year, Public",-
Molloy College,"1000 Hempstead Ave, Rockville Centre, New York 11571-5002",www.molloy.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Molloy University,"Rockville Centre, NY",https://www.collegexpress.com/college/molloy-university/1100299/details/,"$31,330",74%,10:1,"Molloy University, founded in 1955, is a private, church-affiliated, liberal arts college. Its 30-acre campus is located in Rockville Centre, 25 miles east of New York City.",Information Unavailable,Information Unavailable
Monroe 2 Orleans BOCES-Center for Workforce Development,"3589 Big Ridge Rd, Spencerport, New York 14559",www.monroe2boces.org/cwd.aspx,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Dental Assisting/Assistant
Monroe College,"Bronx, NY",https://www.collegexpress.com/college/monroe-college/5008891/details/,"$14,976",Information Unavailable,Information Unavailable,"Monroe College, founded in 1933, is a private institution. Its campus is located in the Bronx, NY.","4-year, Private for-profit",-
Monroe College — New Rochelle Campus,"New Rochelle, NY",https://www.collegexpress.com/college/monroe-college-new-rochelle-campus/5008905/details/,"$14,760",Information Unavailable,Information Unavailable,"Monroe College -- New Rochelle Campus is a public, coeducational institution. Its campus is located in New Rochelle, New York.",Information Unavailable,Information Unavailable
Monroe Community College,"Rochester, NY",https://www.collegexpress.com/college/monroe-community-college/3302955/details/,"$4,706",Information Unavailable,Information Unavailable,"Monroe Community College, founded in 1961, is a public, two-year institution. Its three-acre campus is located in Rochester, New York.","2-year, Public",-
Montefiore School of Nursing,"53 Valentine Street, Mount Vernon, New York 10550-2009",montefiorenewrochelle.org/school-of-nursing,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Mount Saint Mary College,"Newburgh, NY",https://www.collegexpress.com/college/mount-saint-mary-college/1100326/details/,"$33,126",90%,14:1,"Mount Saint Mary College is a private liberal arts college. Founded in 1959, it adopted coeducation in 1968. Its 86-acre campus is located in Newburgh, 58 miles north of New York City.","4-year, Private not-for-profit",-
Mount Sinai Phillips School of Nursing,"148 East 126th Street, New York, New York 10035-6354",www.pson.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Music Conservatory of Westchester,"White Plains, NY",https://www.collegexpress.com/college/music-conservatory-of-westchester/3302624/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Music Conservatory of Westchester, founded in 1929, is a private two-year institution. Its campus is located in White Plains, NY.",Information Unavailable,Information Unavailable
Nassau Community College,"Garden City, NY",https://www.collegexpress.com/college/nassau-community-college/3300993/details/,"$5,800",Information Unavailable,Information Unavailable,"Nassau Community College, founded in 1960, is a public, two-year, liberal arts institution. Its 225-acre campus is located in Garden City, NY.","2-year, Public",-
National Tractor Trailer School — Buffalo,"Buffalo, NY",https://www.collegexpress.com/college/national-tractor-trailer-school-buffalo/3101051/details/,Information Unavailable,Information Unavailable,Information Unavailable,"National Tractor Trailer School, founded in 1989, is a private, two-year, technical institution. Its 11-acre campus is located in Buffalo, NY.",Information Unavailable,Information Unavailable
National Tractor Trailer School — Liverpool,"Liverpool, NY",https://www.collegexpress.com/college/national-tractor-trailer-school-liverpool/3101052/details/,Information Unavailable,Information Unavailable,Information Unavailable,"National Tractor Trailer School, founded in 1971, is a private, two-year, technical institution. Its seven-acre campus is located in Liverpool, NY.",Information Unavailable,Information Unavailable
Nazareth College,"Rochester, NY",https://www.collegexpress.com/college/nazareth-college/1100335/details/,"$34,850",75%,10:1,"Nazareth College, founded in 1924, is a coeducational college with undergraduate and graduate studies in liberal arts and sciences and professional programs in health and human services, education, and management. Its 150-acre campus is located in Rochester, New York.",Information Unavailable,Information Unavailable
Nazareth University,"4245 East Ave, Rochester, New York 14618-3790",https://www2.naz.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Neighborhood Playhouse School of the Theater,"340 E 54th Street, New York City, New York 10022-5017",www.neighborhoodplayhouse.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
New Age Training,"145 West 30th Street, 8th Floor, New York, New York 10001-4034",https://newagetraining.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Medical/Clinical Assistant
New York Academy of Art,"111 Franklin St, New York, New York 10013-2911",nyaa.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
New York Automotive and Diesel Institute,"178-18 Liberty Avenue, Jamaica, New York 11433-1433",www.nyadi.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",Diesel Mechanics Technology/Technician
New York City College of Technology,"Brooklyn, NY",https://www.collegexpress.com/college/new-york-city-college-of-technology/1100565/details/,"$6,930",79%,15:1,"Founded in 1946, New York City College of Technology is a public specialized tech institution in the City University of New York school system. Its campus is located in Brooklyn.",Information Unavailable,Information Unavailable
New York College of Health Professions,"6851 Jericho Tpk, Suite 210, Syosset, New York 11791-4413",www.nycollege.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
New York College of Podiatric Medicine,"53 East 124 Street, New York, New York 10035-1940",www.nycpm.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
New York College of Traditional Chinese Medicine,"200 Old Country Road, Suite 500, Mineola, New York 11501",www.nyctcm.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
New York Conservatory for Dramatic Arts,"39 W 19th Street Fl 2, New York, New York 10011-4225",www.nycda.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",-
New York Film Academy,"New York, NY",https://www.collegexpress.com/college/new-york-film-academy/5001149/details/,Information Unavailable,Information Unavailable,Information Unavailable,"New York Film Academy, founded in 1992, is a two-year specialized institution. Its campus is located in New York, NY. The school has two other campuses in Los Angeles and South Beach, Florida. The Los Angeles campus offers additional Bachelor's and Master's programs.",Information Unavailable,Information Unavailable
New York Institute of Beauty,"11 Oval Drive Suite 180, Islandia, New York 11749-1479",www.nyib.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
New York Institute of Massage Inc,"4701 Transit Rd, Williamsville, New York 14221",nyinstituteofmassage.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Massage Therapy/Therapeutic Massage
New York Institute of Technology,"Old Westbury, NY",https://www.collegexpress.com/college/new-york-institute-of-technology/1100807/details/,"$38,060",74%,12:1,"New York Institute of Technology, founded in 1955, is a private, non-profit institution with campuses on Long Island in Old Westbury, NY; in Manhattan; Jonesboro, Arkansas; Abu Dhabi, the United Arab Emirates; Vancouver, Canada; and China.","4-year, Private not-for-profit",-
New York Law School,"185 West Broadway, New York, New York 10013-2921",www.nyls.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
New York Medical Career Training Center,"136-20 38th Avenue Suite 5F, Flushing, New York 11354",nymedtraining.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
New York Medical College,"Administration Building, Valhalla, New York 10595",https://www.nymc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
New York Paralegal School,"New York, NY",https://www.collegexpress.com/college/new-york-paralegal-school/3303104/details/,Information Unavailable,Information Unavailable,Information Unavailable,"New York Paralegal School is a private specialized institution. Its campus is located in New York, NY.",Information Unavailable,Information Unavailable
New York School for Medical and Dental Assistants,"Long Island City, Queens, NY",https://www.collegexpress.com/college/new-york-school-for-medical-and-dental-assistants/3101057/details/,Information Unavailable,Information Unavailable,Information Unavailable,"New York School for Medical and Dental Assistants, founded in 1966, is a private, specialized, coeducational, technical/professional institution. Its campus is located in Long Island City, Queens, New York.","2-year, Private for-profit",Medical/Clinical Assistant
New York School of Esthetics & Day Spa,"239 central ave 3rd Floor, white plains, New York 10606-1207",www.newyorkschoolofesthetics.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
New York School of Interior Design,"New York, NY",https://www.collegexpress.com/college/new-york-school-of-interior-design/3000314/details/,"$25,440",67%,Information Unavailable,"The New York School of Interior Design, founded in 1916, is a private, primarily specialized institute. Its campus is located on Manhattan's upper east side in New York City.","4-year, Private not-for-profit",-
New York Seminary,"911 McDonald Avenue, Brooklyn, New York 11218-5611",thenyseminary.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
New York Theological Seminary,"3041 Broadway, New York, New York 10027",https://www.nyts.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
New York University,"New York, NY",https://www.collegexpress.com/college/new-york-university/2100345/details/,"$52,204",21%,9:1,"Founded in 1831, New York University is one of the largest private universities in the United States. Programs are offered through 18 schools and colleges at five major centers in Manhattan and in sites in Africa, Asia, Europe, and South America. The faculty's research and teaching encompass the humanities, sciences, and social sciences; law; medicine; business; education; fine arts, studio art, and performing and cinematic arts; music; social work; public administration; the ancient world; and continuing and professional studies. NYU's main campus is located in the heart of Greenwich Village in New York City, with an additional location in Brooklyn.","4-year, Private not-for-profit",-
Niagara County Community College,"Sanborn, NY",https://www.collegexpress.com/college/niagara-county-community-college/3300994/details/,"$4,752",Information Unavailable,Information Unavailable,"Niagara County Community College, founded in 1962, is a public two-year institution. Its 287-acre campus is located in Sanborn, NY.","2-year, Public",-
Niagara University,"Niagara University, NY",https://www.collegexpress.com/college/niagara-university/2800142/details/,"$33,700",92%,11:1,"Niagara University, founded by the Vincentian community in 1856, is a comprehensive institution, blending the best of a liberal arts and professional education, grounded in a values-based, Catholic tradition. Its 160-acre campus is located four miles from Niagara Falls, 20 minutes from Buffalo, and 90 minutes from Toronto.","4-year, Private not-for-profit",-
North Country Community College,"Saranac Lake, NY",https://www.collegexpress.com/college/north-country-community-college/3300995/details/,"$5,280",Information Unavailable,Information Unavailable,"North Country Community College, founded in 1967, is a public, coeducational, two-year institution. Its 70-acre campus is located in Saranac Lake, seven miles from Lake Placid and 40 miles from Plattsburgh.","2-year, Public",-
North Country Community College—Ticonderoga Campus,"Ticonderoga, NY",https://www.collegexpress.com/college/north-country-community-college-ticonderoga-campus/3300964/details/,"$7,078",Information Unavailable,Information Unavailable,"North Country Community College is a public two-year institution. Its branch campus is in Ticonderoga, New York, and the main campus is in Saranac Lake.",Information Unavailable,Information Unavailable
Northeast College of Health Sciences,"2360 State Route 89, Seneca Falls, New York 13148-0800",https://www.northeastcollege.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Northeastern Seminary,"2265 Westside Dr, Rochester, New York 14624",www.nes.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Ohel Margulia Seminary,"22 Ashel Lane, Monsey, New York 10952-2610",ohelmarguliaseminary.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Ohr Hameir Theological Seminary,"141 Furnace Woods Rd, Peekskill, New York 10566",https://ohrhameir.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Onondaga Community College,"Syracuse, NY",https://www.collegexpress.com/college/onondaga-community-college/3300965/details/,"$5,090",Information Unavailable,Information Unavailable,"Onondaga Community College, founded in 1962, is a public college. Its 230-acre campus is located in Syracuse.","2-year, Public",-
Onondaga Cortland Madison BOCES,"Main Campus, Liverpool, New York 13088",ocmboces.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Orange County Community College,"Middletown, NY",https://www.collegexpress.com/college/orange-county-community-college/3300996/details/,"$5,376",Information Unavailable,Information Unavailable,"Orange County Community College, founded in 1950, is a public, two-year, liberal arts institution. Its 37-acre campus is located in Middletown, NY.","2-year, Public",-
Orange Ulster BOCES-Practical Nursing Program,"3 Washington Center, Newburgh, New York 12550",www.ouboces.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Orleans Niagara BOCES-Practical Nursing Program,"50 Main Street, Lockport, New York 14094",https://www.onboces.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Orlo School of Hair Design and Cosmetology,"232 North Allen St, Albany, New York 12206",www.theorloschool.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
