Name,Website,Location,Tuition,Acceptance Rate,Student-Faculty Ratio,Description,School Type,Largest Program
Trocaire College,https://www.collegexpress.com/college/trocaire-college/3301636/details/,"Buffalo, NY","$17,980",53%,,"Trocaire College, founded in 1958, is a private, two-year, coeducational institution. Its campus is located in Buffalo, New York.","4-year, primarily associate's, Private not-for-profit",-
Union College,https://www.collegexpress.com/college/union-college/1100211/details/,"Schenectady, NY","$58,956",41%,10:1,"Union College, founded in 1795 and the first college chartered by the New York State Board of Regents, offers programs in the liberal arts and engineering. Union's curriculum emphasizes collaboration with students and faculty through small classes and undergraduate research, an international experience in all disciplines and learning through service to the campus and community.  Located in the city of Schenectady, Union's campus is three hours from New York City and Boston.","4-year, Private not-for-profit",-
United States Merchant Marine Academy,https://www.collegexpress.com/college/united-states-merchant-marine-academy/1100218/details/,"Kings Point, NY",,24%,12:1,"The U.S. Merchant Marine Academy is a federal academy. Founded in 1943, it adopted coeducation in 1974. Its 80-acre campus is located in Kings Point, on the north shore of Long Island, 20 miles east of mid-town New York City.","4-year, Public",-
United States Military Academy,https://www.collegexpress.com/college/united-states-military-academy/1100219/details/,"West Point, NY",,8%,7:1,"Founded in 1802, United States Military Academy is a fully funded four year college specifically charge with educating, training, and inspiring young men and women for service as commissioned officers in the US Army.  West Point is a picturesque 16,080-acre campus along the Hudson River in Orange County, New York.","4-year, Public",-
University at Albany,https://www.collegexpress.com/college/university-at-albany/1100128/details/,"Albany, NY","$7,070",57%,18:1,"Founded in 1844, University at Albany is a public comprehensive research institution in the Capital Region of New York. Its 560-acre Uptown Campus is located in Albany.","4-year, Public",-
University at Buffalo,https://www.collegexpress.com/college/university-at-buffalo/1100132/details/,"Buffalo, NY","$7,070",66%,15:1,"SUNY University at Buffalo, founded in 1846, is a public, coeducational institution. Its 1,350-acre campus is located in Buffalo, New York.","4-year, Public",-
University of Rochester,https://www.collegexpress.com/college/university-of-rochester/1100166/details/,"Rochester, NY","$57,188",35%,,"The University of Rochester, founded in 1850, is a private, coeducational research university. Its 655-acre campus is located in Rochester, NY.","4-year, Private not-for-profit",-
Utica College,https://www.collegexpress.com/college/utica-college/1100228/details/,"Utica, NY","$21,560",86%,11:1,"Utica College, founded in 1946, is a comprehensive, independent, private institution. Its 128-acre campus is located in Utica, 50 miles from Syracuse.",,
Vassar College,https://www.collegexpress.com/college/vassar-college/1100230/details/,"Poughkeepsie, NY","$60,030",24%,8:1,"Vassar College is a private, liberal arts college. Founded for women in 1861, it adopted coeducation in 1969. Its 1,000-acre campus is located on the outskirts of Poughkeepsie, 75 miles north of New York City. It includes a range of architecture from Gothic to modernist.","4-year, Private not-for-profit",-
Vaughn College of Aeronautics and Technology,https://www.collegexpress.com/college/vaughn-college-of-aeronautics-and-technology/3000061/details/,"Flushing, NY","$25,300",,16:1,"Vaughn College of Aeronautics and Technology, founded in 1932, is a private, coeducational, four-year, specialized institution. Its campus is located in Flushing, New York.","4-year, primarily associate's, Private not-for-profit",-
Villa Maria College,https://www.collegexpress.com/college/villa-maria-college/3301637/details/,"Buffalo, NY","$24,000",78%,8:1,"Villa Maria College is a private, co-educational institution of higher education offering both associate and bachelor's degrees, emphasizing programs in the applied arts and music while offering and maintaining quality programs in other educational disciplines.  The college was established in 1961 and is located in the town of Cheektowaga, which borders the eastern edge of the city of Buffalo, NY.","4-year, Private not-for-profit",-
Wagner College,https://www.collegexpress.com/college/wagner-college/1100246/details/,"Staten Island, NY","$48,010",70%,12:1,"Founded in 1883, Wagner College is a four-year liberal arts college. Its 110-acre campus is located on Staten Island.","4-year, Private not-for-profit",-
Webb Institute,https://www.collegexpress.com/college/webb-institute/1100251/details/,"Glen Cove, NY","$52,420",21%,9:1,"Webb Institute is a private institute of naval architecture and marine engineering. Founded in 1889, it adopted coeducation in 1974. Its 26-acre campus is located in Glen Cove, on the north shore of Long Island, 22 miles from New York City.","4-year, Private not-for-profit",-
Wells College,https://www.collegexpress.com/college/wells-college/1100258/details/,"Aurora, NY","$30,300",64%,9:1,"Wells College, founded in 1868, is a private, coeducational, liberal arts college. Its 365-acre campus is located in Aurora, New York on the eastern shore of stunning Cayuga Lake.","4-year, Private not-for-profit",-
Westchester Community College,https://www.collegexpress.com/college/westchester-community-college/3301002/details/,"Valhalla, NY","$4,580",,,"Westchester Community College, founded in 1946 is a public two year college. Its 218-acre campus is located in Valhalla, Westchester County in New York State.",,
Wilson Technological Center,https://www.collegexpress.com/college/wilson-technological-center/3302613/details/,"Dix Hills, NY",,,,"Wilson Technological Center, a division of Western Suffolk BOCES, is a public, coeducational, technical/professional institution. Its campus is located in Dix Hills, New York.",,
Yeshiva University,https://www.collegexpress.com/college/yeshiva-university/1100308/details/,"New York, NY","$43,575",67%,7:1,"Yeshiva University, founded in 1886, is a private, comprehensive university. Its facilities are located at three centers in Manhattan and one in the Bronx.","4-year, Private not-for-profit",-
"York College, CUNY",https://www.collegexpress.com/college/york-college-cuny/1100520/details/,"Jamaica, NY","$6,930",52%,18:1,"Founded in 1966, York College is a public institution offering liberal arts and career education and is a member of the City University of New York school system. Its 50-acre campus is located in Jamaica.",,
Access Careers,www.accesscareers.net/,"474 Fulton Avenue, Suite 201, Hempstead, New York 11550-0000",,,,,"< 2-year, Private for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
Access Careers-Islandia,www.accesscareers.net/,"1930 Veterans Highway, Suite 10, Islandia, New York 11749-1599",,,,,"< 2-year, Private for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
Ace Institute of Technology,www.acecareer.edu/,"312 West 36 Street, 2nd Floor, New York, New York 10018",,,,,"2-year, Private for-profit",Medical/Clinical Assistant
Aesthetic Science Institute,www.aestheticscienceinstitute.edu/,"922 Troy-Schenectady Road, Latham, New York 12110-1095",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Albany BOCES-Adult Practical Nursing Program,https://www.capitalregionboces.org/adult-education/classes-programs/,"900  Watervliet Shaker Rd, Albany, New York 12205",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Albany Law School,www.albanylaw.edu/,"80 New Scotland Avenue, Albany, New York 12208",,,,,"4-year, Private not-for-profit",-
Albany Medical College,www.amc.edu/,"47 New Scotland Ave, Albany, New York 12208-3479",,,,,"4-year, Private not-for-profit",-
Albert Einstein College of Medicine,www.einsteinmed.edu/,"1300 Morris Park Avenue, Bronx, New York 10461-1900",,,,,"4-year, Private not-for-profit",-
Allen School-Brooklyn,www.allenschool.edu/,"188 Montague Street, Brooklyn, New York 11201",,,,,"< 2-year, Private for-profit",Medical/Clinical Assistant
Allen School-Jamaica,www.allenschool.edu/,"163-18 Jamaica Avenue, Jamaica, New York 11432",,,,,"< 2-year, Private for-profit",Medical/Clinical Assistant
Alliance Computing Solutions,www.acs.edu/,"3660 Main Street, 4th Floor, Flushing, New York 11354-6507",,,,,"< 2-year, Private for-profit",Medical/Clinical Assistant
Alliance Computing Solutions - NYC,www.acs.edu/,"545 8th Avenue Suite 1210, New York, New York 10018-4313",,,,,"< 2-year, Private for-profit",Medical/Clinical Assistant
American Academy McAllister Institute of Funeral Service,www.funeraleducation.org/,"1501 Broadway, 11th Floor, Suite 1102, New York, New York 10036",,,,,"2-year, Private not-for-profit",-
American Academy of Dramatic Arts-New York,www.aada.edu/,"120 Madison Ave, New York, New York 10016",,,,,"2-year, Private not-for-profit",-
American Beauty School,www.americanbeautyschool.edu/,"1380 Metropolitan Avenue, Bronx, New York 10462",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
American Musical and Dramatic Academy,www.amda.edu/,"211 West 61st Street, New York, New York 10023",,,,,"4-year, primarily associate's, Private not-for-profit",-
AMG School of Nursing,amg.edu/,"110 Bridge Street, Brooklyn, New York 11201-1728",,,,,"2-year, Private for-profit",Licensed Practical/Vocational Nurse Training
Arnot Ogden Medical Center,www.arnothealth.org/,"600 Roe Avenue, Elmira, New York 14905-1676",,,,,"2-year, Private not-for-profit",Registered Nursing/Registered Nurse
Arrojo Cosmetology School,www.arrojocosmetology.com/,"56 King St., New York, New York 10014",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Associated Beth Rivkah Schools,https://www.bethrivkah.edu/dhl,"310 Crown Street, Brooklyn, New York 11225-0000",,,,,"4-year, primarily associate's, Private not-for-profit",-
Atelier Esthetique Institute of Esthetics,www.aeinstitute.net/,"226 East 26th Street 7th Floor, New York, New York 10001",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Austin Medical Assistant Training,https://amat.edu/,"109-15 72nd Road, Unit 1A, Forest Hills, New York 11375-0000",,,,,"2-year, Private for-profit",Medical Office Assistant/Specialist
Aveda Arts & Sciences Institute-New York,avedaarts.edu/,"233 Spring St, New York, New York 10013",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Bais Binyomin Academy,https://baisbinyominacademy.com/,"51 Carlton Road, Monsey, New York 10952",,,,,"4-year, primarily associate's, Private not-for-profit",-
Bais Medrash Elyon,baismedroshelyon.com/,"73 Main Street, Monsey, New York 10952",,,,,"4-year, Private not-for-profit",-
Bais Medrash of Dexter Park,https://bmdpark.com/,"445 South Pascack Road, Chestnut Ridge, New York 10977",,,,,"4-year, primarily associate's, Private not-for-profit",-
Bank Street College of Education,www.bankstreet.edu/,"610 W 112 St, New York, New York 10025",,,,,"4-year, Private not-for-profit",-
Barber & Beauty Institute of New York,www.bbiny.edu/#,"266 Greenwich Street, Hempstead, New York 11550-6317",,,,,"< 2-year, Private for-profit",Barbering/Barber
Bard College - Albion Correctional Facility,https://www.bard.edu/,"3595 State School Road, Albion, New York 14411-9399",,,,,"4-year, Private not-for-profit",-
Bard College - Bard Globalization and International Affairs Program,https://www.bard.edu/,"108 West 39th Street Suite 1000A, New York, New York 10018-3614",,,,,"4-year, Private not-for-profit",-
Bard College - Brooklyn Public Library,https://www.bard.edu/,"10 Grand Army Plaza, Brooklyn, New York 11238-5619",,,,,"2-year, Private not-for-profit",-
Bard College - Coxsackie Correctional Facility,https://www.bard.edu/,"11260 Route 9W, Coxsackie, New York 12051-0200",,,,,"< 2-year, Private not-for-profit",-
Bard College - Eastern NY Correctional Facility,https://www.bard.edu/,"30 Institution Road, Napanoch, New York 12458-0338",,,,,"4-year, Private not-for-profit",-
Bard College - Fishkill Correctional Facility,https://www.bard.edu/,"18 Strack Drive, Beacon, New York 12508-0307",,,,,"4-year, Private not-for-profit",-
Bard College - Green Haven Correctional Facility,https://www.bard.edu/,"594 Route 216, Stormville, New York 12582-0010",,,,,"4-year, Private not-for-profit",-
"Bard College - New York Public Library, Countee Cullen Branch",https://www.bard.edu/,"104 West 136th Street New York Public Library, New York, New York 10030-2601",,,,,"2-year, Private not-for-profit",-
Bard College - Taconic Correctional Facility,https://www.bard.edu/,"250 Harris Road, Bedford Hill, New York 10507-2497",,,,,"4-year, Private not-for-profit",-
Bard College - Woodbourne Correctional Facility,https://www.bard.edu/,"99 Prison Road, Woodbourne, New York 12788-1000",,,,,"4-year, Private not-for-profit",-
Be'er Yaakov Talmudic Seminary,www.byts.edu/,"12 Truman Avenue, Spring Valley, New York 10977",,,,,"4-year, Private not-for-profit",-
Beis Medrash Heichal Dovid,www.heichaldovid.org/,"211 Beach Seventeenth Street, Far Rockaway, New York 11691-4433",,,,,"4-year, Private not-for-profit",-
Belanger School of Nursing,www.ellismedicine.org/school-of-nursing/,"650 McClellan St, Schenectady, New York 12304",,,,,"2-year, Private not-for-profit",-
Berkeley College-New York,https://berkeleycollege.edu/,"3 East 43 Street, New York, New York 10017",,,,,"4-year, Private for-profit",-
Berkowits School of Electrolysis,estheticsschoolny.com/,"107-25 Metropolitan Avenue, Forest Hills, New York 11375-6820",,,,,"< 2-year, Private for-profit",Electrolysis/Electrology and Electrolysis Technician
Bet Medrash Gadol Ateret Torah,betmedrashgadolaterettorah.com/,"1750 East Fourth Street, Brooklyn, New York 11223-1933",,,,,"4-year, Private not-for-profit",-
Beth Hamedrash Shaarei Yosher Institute,bhsy.edu/,"4102 16th Ave, Brooklyn, New York 11204",,,,,"4-year, primarily associate's, Private not-for-profit",-
Beth Medrash Meor Yitzchok,https://bethmedrashmeoryitzchok.com/,"85 Dykstras Way East, Monsey, New York 10952-4023",,,,,"4-year, primarily associate's, Private not-for-profit",-
Bnos Zion Of Bobov Seminary,https://www.bnoszionbobov.com/,"5000 14th Avenue, Brooklyn, New York 11219-3621",,,,,"2-year, Private not-for-profit",-
Brittany Beauty Academy,https://brittanyacademy.edu/,"210 East 188th St, Bronx, New York 10458",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Brittany Beauty Academy,brittanyacademy.edu/,"375 86th Street, Brooklyn, New York 11209",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Brittany Beauty Academy,https://brittanyacademy.edu/,"3274 Hempstead Turnpike, Levittown, New York 11756-1345",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Brooklyn Law School,www.brooklaw.edu/,"250 Joralemon St, Brooklyn, New York 11201",,,,,"4-year, Private not-for-profit",-
Broome Delaware Tioga BOCES-Practical Nursing Program,www.btboces.org/,"1100 East Main Street, Endicott, New York 13760",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/,"1259 Central Ave, Albany, New York 12205",,,,,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Amherst,https://www.bryantstratton.edu/,"3650 Millersport Highway, Getzville, New York 14068",,,,,"4-year, Private not-for-profit",-
Bryant & Stratton College-Buffalo,https://www.bryantstratton.edu/,"110 Broadway, 2nd Floor, Buffalo, New York 14203",,,,,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Greece,https://www.bryantstratton.edu/,"854 Long Pond Road, Rochester, New York 14612",,,,,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Henrietta,https://www.bryantstratton.edu/,"1225 Jefferson Rd, Rochester, New York 14623",,,,,"4-year, Private not-for-profit",-
Bryant & Stratton College-Online,https://www.bryantstratton.edu/,"200 Redtail Rd, Orchard Park, New York 14127",,,,,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Southtowns,https://www.bryantstratton.edu/,"Sterling Park - 180 Redtail Rd., Orchard Park, New York 14127",,,,,"4-year, Private not-for-profit",-
Bryant & Stratton College-Syracuse,https://www.bryantstratton.edu/,"953 James St, Syracuse, New York 13203-2502",,,,,"2-year, Private not-for-profit",-
Bryant & Stratton College-Syracuse North,https://www.bryantstratton.edu/,"7805 Oswego Rd, Liverpool, New York 13090",,,,,"4-year, primarily associate's, Private not-for-profit",-
Capri Cosmetology Learning Centers,caprinow.edu/,"251 West Route 59, Nanuet, New York 10954",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Career School of NY,careerschoolny.com/,"350 St. Marks Pl, Staten Island, New York 10301",,,,,"< 2-year, Private not-for-profit",Aesthetician/Esthetician and Skin Care Specialist
Cattaraugus Allegany BOCES-Practical Nursing Program,www.caboces.org/,"1825 Windfall Rd, Olean, New York 14760",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Cayuga County Community College,https://www.cayuga-cc.edu/,"197 Franklin Street, Auburn, New York 13021-3099",,,,,"2-year, Public",-
Cayuga Onondaga BOCES-Practical Nursing Program,www.cayboces.org/,"Center for Learning 12 Allen Street, Auburn, New York 13021",,,,,"< 2-year, Public",-
Center for Allied Health Education,https://www.cahe.edu/,"1401 Kings Highway, Brooklyn, New York 11229",,,,,"2-year, Private for-profit",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
"Center for Instruction, Technology & Innovation",https://www.citiboces.org/domain/14,"179 County  Route 64, Mexico, New York 13114",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Center for Ultrasound Research & Education,www.cure.edu/,"333 Westchester Avenue Suite 101 West, White Plains, New York 10604",,,,,"2-year, Private for-profit",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
Central Yeshiva Beth Joseph,https://centralyeshivabethjoseph.com/,"1502 Avenue N, Brooklyn, New York 11230-6043",,,,,"4-year, Private not-for-profit",-
Central Yeshiva Tomchei Tmimim Lubavitz,https://cyttl.edu/,"885 Eastern Parkway, Brooklyn, New York 11213-2798",,,,,"4-year, Private not-for-profit",-
Charles Stuart School of Diamond Setting,charlesstuartschool.com./,"1420 Kings Hwy 2nd Fl, Brooklyn, New York 11229",,,,,"< 2-year, Private for-profit",Locksmithing and Safe Repair
"Christine Valmy International School for Esthetics, Skin Care & Makeup",https://www.christinevalmy.com/,"1501 Broadway Suite 700, New York, New York 10036",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Circle in the Square Theatre School,www.circlesquare.org/,"1633 Broadway, New York, New York 10019-6795",,,,,"2-year, Private not-for-profit",-
Clarkson University Capital Region Campus,https://www.clarkson.edu/academics/graduate,"80 Nott Terrace, Schenectady, New York 12308",,,,,"4-year, Private not-for-profit",-
Clinton Community College,https://www.clinton.edu/,"136 Clinton Point Dr., Plattsburgh, New York 12901",,,,,"2-year, Public",-
Clinton Essex Warren Washington BOCES,www.cves.org/,"1585 Military Turnpike, Plattsburgh, New York 12901-0455",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Cochran School of Nursing,www.cochranschoolofnursing.us/,"967 North Broadway-Andrus Pavillion-Saint John's Riverside,  HOSP, Yonkers, New York 10701",,,,,"2-year, Private not-for-profit",-
Colgate Rochester Crozer Divinity School,https://www.crcds.edu/,"320 North Goodman St, Suite 207, Rochester, New York 14607",,,,,"4-year, Private not-for-profit",-
College of Staten Island CUNY,www.csi.cuny.edu/,"2800 Victory Blvd, Staten Island, New York 10314",,,,,"4-year, Public",-
Columbia University in the City of New York,www.columbia.edu/,"West 116 St and Broadway, New York, New York 10027",,,,,"4-year, Private not-for-profit",-
Columbia-Greene Community College,https://www.sunycgcc.edu/,"4400 Route 23, Hudson, New York 12534",,,,,"2-year, Public",-
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,yeshivaaleksander.org/,"1535 63rd Street, Brooklyn, New York 11219-5440",,,,,"4-year, Private not-for-profit",-
Continental School of Beauty Culture-Mattydale,continentalschoolofbeauty.edu/,"2803 Brewerton Road, Mattydale, New York 13211-1003",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Continental School of Beauty Culture-Rochester,continentalschoolofbeauty.edu/,"633 Jefferson Rd, Rochester, New York 14623",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Continental School of Beauty Culture-West Seneca,continentalschoolofbeauty.edu/,"1050 Union Rd, West Seneca, New York 14224",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Culinary Institute of America,www.ciachef.edu/,"1946 Campus Drive, Hyde Park, New York 12538-1499",,,,,"4-year, primarily associate's, Private not-for-profit",-
Culinary Tech Center,www.culinarytechcenter.edu/,"303 Quarropas Street, White Plains, New York 10601",,,,,"< 2-year, Private for-profit","Cooking and Related Culinary Arts, General"
CUNY Bernard M Baruch College,www.baruch.cuny.edu/,"One Bernard Baruch Way (55 Lexington Ave at 24th St), New York, New York 10010",,,,,"4-year, Public",-
CUNY Borough of Manhattan Community College,www.bmcc.cuny.edu/,"199 Chambers St, New York, New York 10007",,,,,"2-year, Public",-
CUNY Bronx Community College,www.bcc.cuny.edu/,"2155 University Avenue, Bronx, New York 10453",,,,,"2-year, Public",-
CUNY Brooklyn College,www.brooklyn.cuny.edu/,"2900 Bedford Ave, Brooklyn, New York 11210",,,,,"4-year, Public",-
CUNY Brooklyn College - Feirstein Graduate School of Cinema,www.brooklyn.edu/feirstein/,"25 Washington Avenue, Brooklyn, New York 11205-1202",,,,,"4-year, Public",-
CUNY City College,www.ccny.cuny.edu/,"160 Convent Ave, New York, New York 10031",,,,,"4-year, Public",-
CUNY Graduate School and University Center,www.gc.cuny.edu/,"365 Fifth Ave, New York, New York 10016",,,,,"4-year, Public",-
CUNY Hostos Community College,www.hostos.cuny.edu/,"500 Grand Concourse, Bronx, New York 10451",,,,,"2-year, Public",-
CUNY Hunter College,www.hunter.cuny.edu/,"695 Park Ave, New York, New York 10065",,,,,"4-year, Public",-
CUNY John Jay College of Criminal Justice,www.jjay.cuny.edu/,"524 W 59th St, New York, New York 10019",,,,,"4-year, Public",-
CUNY Kingsborough Community College,www.kbcc.cuny.edu/,"2001 Oriental Blvd, Brooklyn, New York 11235",,,,,"2-year, Public",-
CUNY LaGuardia Community College,www.lagcc.cuny.edu/,"31-10 Thomson Ave, Long Island City, New York 11101",,,,,"2-year, Public",-
CUNY Lehman College,www.lehman.edu/,"250 Bedford Park Blvd West, Bronx, New York 10468",,,,,"4-year, Public",-
CUNY Medgar Evers College,https://www.mec.cuny.edu/,"1650 Bedford Ave, Brooklyn, New York 11225",,,,,"4-year, Public",-
CUNY New York City College of Technology,www.citytech.cuny.edu/,"300 Jay St, Brooklyn, New York 11201",,,,,"4-year, Public",-
CUNY Queens College,https://www.qc.cuny.edu/,"65-30 Kissena Blvd, Queens, New York 11367",,,,,"4-year, Public",-
CUNY Queensborough Community College,www.qcc.cuny.edu/,"222-05 56th Ave, Bayside, New York 11364-1497",,,,,"2-year, Public",-
CUNY School of Law,https://www.law.cuny.edu/,"2 Court Square, Long Island City, New York 11101",,,,,"4-year, Public",-
CUNY Stella and Charles Guttman Community College,https://www.guttman.cuny.edu/,"50 West 40th Street, New York, New York 10018-2602",,,,,"2-year, Public",-
CUNY York College,www.york.cuny.edu/,"94-20 Guy R. Brewer Blvd, Jamaica, New York 11451",,,,,"4-year, Public",-
CVPH Medical Center School of Radiologic Technology,www.cvph.org/Residency-and-Education/School-of-Radiology/,"75 Beekman St, Plattsburgh, New York 12901-1438",,,,,"2-year, Private not-for-profit",Radiologic Technology/Science - Radiographer
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,www.dcmoboces.com/,"6678 County Rd 32, Norwich, New York 13815-3554",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Derech Hachaim Seminary,derechhachaimseminary.com/,"5 Israel Zupnik Drive, Monroe, New York 10950-6300",,,,,"2-year, Private not-for-profit",-
DeVry College of New York,https://www.devry.edu/,"180 Madison Ave, Ste 1100, New York, New York 10016",,,,,"4-year, Private for-profit",-
Digital Film Academy,www.digitalfilmacademy.edu/,"630 9th Ave Ste 901, New York, New York 10036",,,,,"2-year, Private for-profit","Web Page, Digital/Multimedia and Information Resources Design"
Dominican University New York,www.duny.edu/,"470 Western Highway, Orangeburg, New York 10962-1210",,,,,"4-year, Private not-for-profit",-
Dutchess BOCES-Practical Nursing Program,https://www.dcboces.org/cti/lpn,"5 BOCES Road, Poughkeepsie, New York 12601-6599",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
D'Youville  University,www.dyu.edu/,"320 Porter Ave, Buffalo, New York 14201-1084",,,,,"4-year, Private not-for-profit",-
Eastern Suffolk BOCES,https://adulteducation.esboces.org/programs-services/cosmetology-program/about-cosmetology,"375 Locust Avenue, Oakdale, New York 11769-1650",,,,,"< 2-year, Public","Cosmetology/Cosmetologist, General"
Eastern Suffolk BOCES,https://adulteducation.esboces.org/programs-services/cosmetology-program/about-cosmetology,"970 North Griffing Avenue, Riverhead, New York 11901-2763",,,,,"< 2-year, Public","Cosmetology/Cosmetologist, General"
Eastern Suffolk BOCES,https://adulteducation.esboces.org/programs-services/eastern-suffolk-school-of-practical-nursing/nursing,"30 Greene Avenue, Sayville, New York 11782",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
EDP School,edpschool.edu/,"1601 Voorhies Ave 2nd Floor, Brooklyn, New York 11235",,,,,"< 2-year, Private not-for-profit",Medical Office Assistant/Specialist
Electrical and HVAC/R Training Center,https://www.electricaltrainingcenter.edu/,"65 Elm St., Copiague, New York 11726",,,,,"< 2-year, Private for-profit",Electrical and Electronics Engineering
Elim Bible Institute and College,https://elim.edu/,"7245 College Street, Lima, New York 14485-9704",,,,,"4-year, primarily associate's, Private not-for-profit",-
Elmezzi Graduate School of Molecular Medicine,www.northwell.edu/education-and-resources/elmezzi-graduate-school-of-molecular-medicine,"350 Community Drive, Manhasset, New York 11030-3816",,,,,"4-year, Private not-for-profit",-
Elyon College,elyon.edu/,"1400 West 6th Street, Brooklyn, New York 11204-4801",,,,,"2-year, Private not-for-profit",-
Empire Beauty School-Brooklyn,www.empire.edu/,"2384 86th St, Brooklyn, New York 11214",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Buffalo,www.empire.edu/,"2190 Walden Avenue, Cheektowaga, New York 14225-5177",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Manhattan,www.empire.edu/,"22 W 34th St, New York, New York 10001",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Peekskill,www.empire.edu/,"19 Bank St, Peekskill, New York 10566",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Queens,www.empire.edu/,"38-15 Broadway, Astoria, New York 11103",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire Beauty School-Rochester,www.empire.edu/,"340 Elmridge Center Drive, Rochester, New York 14626-3461",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Empire State University,www.sunyempire.edu/,"Two Union Ave, Saratoga Springs, New York 12866-4391",,,,,"4-year, Public",-
Erie 1 BOCES,e1b.org/WFD,"355 Harlem Rd, West Seneca, New York 14224",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,www.e2ccb.org/,"8685 Erie Rd, Angola, New York 14006",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Erie Community College,www.ecc.edu/,"121 Ellicott St, Buffalo, New York 14203-2698",,,,,"2-year, Public",-
Excelsior University,www.excelsior.edu/,"7 Columbia Cir, Albany, New York 12203-5159",,,,,"4-year, Private not-for-profit",-
Finger Lakes Health College of Nursing & Health Sciences,https://www.flhcon.edu/,"196 North Street, Geneva, New York 14456-1651",,,,,"2-year, Private not-for-profit",-
Focus Personal Training Institute,www.fpti.edu/,"115 West 27th Street, 11th Floor, New York, New York 10001-6217",,,,,"< 2-year, Private for-profit",Physical Fitness Technician
Fulton-Montgomery Community College,www.fmcc.edu/,"2805 State Hwy 67, Johnstown, New York 12095-3790",,,,,"2-year, Public",-
Gemological Institute of America-New York,www.gia.edu/gem-education,"50 West 47th Street, 8th Floor, New York, New York 10036",,,,,"< 2-year, Private not-for-profit",Jewelry Arts
Genesee Valley BOCES-Practical Nursing Program,www.gvboces.org/,"Adult Education Office  8250 State St Rd, Batavia, New York 14020",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Glasgow Caledonian New York College,www.gcnyc.edu/,"64 Wooster Street, New York, New York 10012",,,,,"4-year, Private not-for-profit",-
Grace International Beauty School,www.gibs.edu/,"136-31 41st Avenue, #6FL, Flushing, New York 11355-2446",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Hebrew Union College-Jewish Institute of Religion,www.huc.edu/,"One W 4th St, New York, New York 10012-1186",,,,,"4-year, Private not-for-profit",-
Herkimer County BOCES-Practical Nursing Program,https://www.herkimer-boces.org/page/adult-practical-nursing,"420 East German Sterr, Herkimer, New York 13350",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
